comentario,comentario_procesado,intencion,confianza_intencion,departamento,metodo_departamento
Funcionan bien las computadoras solo falta que la red este un poco mejor.,funcionan bien las computadoras solo falta que la red este un poco mejor,felicitación,0.5541654018159471,Unidad de Informática,keywords
Las computadoras están muy lentas y ni siquiera están conectadas a un Internet estable.,las computadoras están muy lentas y ni siquiera están conectadas a un internet estable,queja,0.5246688709723304,Unidad de Informática,keywords
El laboratorio esta en excelentes condiciones ,el laboratorio esta en excelentes condiciones,felicitación,0.42714561177051696,Unidad de Informática,setfit
Que no sean tan apáticos ,que no sean tan apáticos,sugerencia,0.4886468531482125,Evaluación y Seguimiento Académico,setfit
Las computadoras van lentas,las computadoras van lentas,queja,0.3846736621393657,Unidad de Informática,setfit
 Que casi ningún equipo se puede prender ,que casi ningún equipo se puede prender,sugerencia,0.5344991264888346,Actividades Culturales y/o Deportivas,setfit
Tener más contactos de luz para poder conectar en caso de traer lap,tener más contactos de luz para poder conectar en caso de traer lap,sugerencia,0.6172643337357495,Subdirección Administrativa,keywords
Se agradece el uso de azure,se agradece el uso de azure,felicitación,0.5062767644789654,Extensión y Apoyos Educativos,setfit
Agregar lector de disco ,agregar lector de disco,sugerencia,0.5976160097145378,Recursos Financieros,setfit
Verificar que el disco duro siempre está al 100%,verificar que el disco duro siempre está al 100,sugerencia,0.42551148191679655,Unidad de Informática,setfit
Me agradaron las computadora ,me agradaron las computadora,felicitación,0.43632756484712226,Unidad de Informática,keywords
No hay quemador de discos y se requiere para grabar la información en los discos que solicita la CATT para TT2,no hay quemador de discos y se requiere para grabar la información en los discos que solicita la catt para tt2,queja,0.6053137266139633,Unidad de Informática,setfit
La máquina no tenía internet,la máquina no tenía internet,queja,0.3790467513822866,Unidad de Informática,keywords
Simplemente que en el futuro puedan haber más máquinas con conexión de Internet. ,simplemente que en el futuro puedan haber más máquinas con conexión de internet,sugerencia,0.5813137948522182,Unidad de Informática,keywords
Que en el futuro haya más ordenadores con conexión de Internet ,que en el futuro haya más ordenadores con conexión de internet,sugerencia,0.6336664599040623,Unidad de Informática,keywords
Que quizá en el futuro puedan haber más máquinas con conexión de Internet. Quizá también que se vigile que no vuelvan a robar equipo de cómputo. ,que quizá en el futuro puedan haber más máquinas con conexión de internet quizá también que se vigile que no vuelvan a robar equipo de cómputo,sugerencia,0.5998997039132213,Unidad de Informática,keywords
Algunas no tienen internet,algunas no tienen internet,sugerencia,0.49090076224715784,Unidad de Informática,keywords
"La mayoría del personal, no todos, pareciera que te hacen un favor cuando solicitas informacion ya sea en ventanilla o por vía telefonica. En mas de una ocasion se han limitado a decirme que la informacion se encuentra en la pagina, sin embargo, a veces he encontrado url a formularios vencidos o con informacion de semestres anteriores.",la mayoría del personal no todos pareciera que te hacen un favor cuando solicitas informacion ya sea en ventanilla o por vía telefonica en mas de una ocasion se han limitado a decirme que la informacion se encuentra en la pagina sin embargo a veces he encontrado url a formularios vencidos o con informacion de semestres anteriores,queja,0.6511174312348382,Unidad Politécnica de Integración Social,setfit
